company,total_complaints
CAPITAL ONE FINANCIAL CORPORATION,481
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",451
"CITIBANK, N.A.",422
"EQUIFAX, INC.",422
Experian Information Solutions Inc.,417
JPMORGAN CHASE & CO.,390
SYNCHRONY FINANCIAL,308
AMERICAN EXPRESS COMPANY,279
"BANK OF AMERICA, NATIONAL ASSOCIATION",247
"Bread Financial Holdings, Inc.",188
DISCOVER BANK,175
WELLS FARGO & COMPANY,173
BARCLAYS BANK DELAWARE,133
GOLDMAN SACHS BANK USA,116
TD BANK US HOLDING COMPANY,68
U.S. BANCORP,67
NAVY FEDERAL CREDIT UNION,45
Atlanticus Services Corporation,33
Sincerely,31
"CLGF Holdco 1, LLC",30
Chime Financial Inc,28
ALLY FINANCIAL INC.,26
UNITED SERVICES AUTOMOBILE ASSOCIATION,22
"Paypal Holdings, Inc",22
On XX/XX/XXXX,21
However,18
"Avant Holding Company, Inc.",17
FIRST NATIONAL BANK OF OMAHA,17
TRUIST FINANCIAL CORPORATION,16
Synovus Bank,16
"Affirm Holdings, Inc",15
PNC Bank N.A.,15
Furthermore,15
FIRST PORTFOLIO SERVICING INC,13
"CITIZENS FINANCIAL GROUP, INC.",13
On XX/XX/2023,12
"Upgrade, Inc.",12
Self Financial Inc.,11
REGIONS FINANCIAL CORPORATION,10
"Block, Inc.",9
OneMain Finance Corporation,9
"XXXX XXXX\"",9
"Continental Finance Company, LLC",9
Today,8
FIFTH THIRD FINANCIAL CORPORATION,8
Thank you,8
Also,7
"Colony Brands, Inc.",7
BMO HARRIS BANK NATIONAL ASSOCIATION,7
"Thank you.\"",6
Comerica,6
"Prosper Marketplace, Inc.",6
Subsequently,6
XXXX,6
Winklevoss Exchange LLC,6
Thanks,5
Netspend Corporation,5
UMB FINANCIAL CORPORATION,5
PENTAGON FEDERAL CREDIT UNION,5
In XX/XX/XXXX,5
ENCORE CAPITAL GROUP INC.,5
KEYCORP,5
Army and Air Force Exchange Service,4
"SANTANDER HOLDINGS USA, INC.",4
Finally,4
"15 USC 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose.\"",4
XXXX XXXX,4
BANCO POPULAR DE PUERTO RICO,4
"Thank you\"",4
Additionally,4
M&T BANK CORPORATION,4
Resurgent Capital Services L.P.,4
Unfortunately,4
PORTFOLIO RECOVERY ASSOCIATES INC,4
Kikoff Inc.,3
In fact,3
"Grain Technology, Inc.",3
15 U.S. Code 1681a - Definitions ; rules of construction ( 2 ) Exclusions.Except as provided in paragraph ( 3 ),3
At this time,3
COMMERCE BANK,3
"Credit Karma, LLC",3
At this point,3
"15 USC 1666B : A creditor may not treat a payment on a credit card account under an open-end consumer credit plan as late for any purpose.\"",3
Pursuant to 15 USC 1666b A creditor may not treat a payment on a credit card account under an open-end consumer credit plan as late for any purpose,3
HSBC NORTH AMERICA HOLDINGS INC.,3
Now,3
VYSTAR CREDIT UNION,3
XX/XX/XXXX,3
SUNCOAST CREDIT UNION,3
( d ) Limitations on the sharing of account number information for marketing purposes A financial institution shall not disclose,3
( B ) Reporting information after notice and confirmation of errors A person shall not furnish information relating to a consumer to any consumer reporting agency if ( i ) the person has been notified by the consumer,3
( 2 ) Exception This subsection shall not prevent a financial institution from providing nonpublic personal information to a nonaffiliated third party to perform services for or functions on behalf of the financial institution,3
"Thank you!\"",3
( e ) General exceptions Subsections ( a ) and ( b ) shall not prohibit the disclosure of nonpublic personal information ( 1 ) as necessary to effect,3
Grow Credit Inc,3
As a result,3
Then,3
"XXXX XXXX XXXX XXXX\"",3
ALLIANT CREDIT UNION,3
In XXXX of XXXX,3
( c ) Limits on reuse of information Except as otherwise provided in this subchapter,3
DigniFi,2
"Sincerely XXXX XXXX XXXX\"",2
Instead,2
At XXXX XXXX EST,2
Since then,2
CREDIT ACCEPTANCE CORPORATION,2
Regardless,2
The letter also contained a formal request for DO NOT CALL or EMAIL,2
ADIR INTERNATIONAL LLC,2
In XXXX,2
"Thank you for your attention to this matter.\"",2
"American First Finance, Inc.",2
"USPS Registered Mail Tracking # XXXX ( delivered on XX/XX/2023 )\"",2
Company 's Actions to Date To date,2
Second,2
AMERICAN HONDA FINANCE CORP,2
Respectfully,2
Lastly,2
"OPTUM BANK, INC.",2
The letter made clear that it was NOT a letter of verification of mailing address or other information,2
In the meantime,2
Enclosed with this complaint,2
Last month,2
MOUNTAIN AMERICA FEDERAL CREDIT UNION,2
Incomm Holdings Inc.,2
I have worked with the Fraud Department of Bank of America and they insisted that it was a legit account,2
Again,2
"I always pay on time. This is causing me a lot of stress.\"",2
( b ) Opt out ( 1 ) In general A financial institution may not disclose nonpublic personal information to a nonaffiliated third party unless ( A ) such financial institution clearly and conspicuously discloses to the consumer,2
In addition,2
"I will be very grateful for any help with this matter. Thank you\"",2
"XXXX\"",2
Regrettably,2
"By the time I was finally able to get a payment through it forced it to post the next day as errantly late.\"",1
Crime Case Number : XXXX,1
"I have over XXXX of funds on the card they are my funds that I deposited.\"",1
So at that point,1
As a result of XXXX 's error,1
I received a letter in about a week they asked for additional information such us ID,1
"Credit usage 42 % Balance {$1000.00} Balance updated XX/XX/XXXX Credit limit {$2400.00} Account info Account number XXXX Open/closed Closed Date opened XX/XX/XXXX Account type Business Card\"",1
"Best regards XXXX XXXX\"",1
"It appears that Wells Fargo does nothing to protect people from having their identities stolen or actually checking people 's credit before approving a credit card.\"",1
"I spent at least an hour on the phone with American Express to try and resolve the issue. They said their system shows the payment was credited at XXXX AM on XX/XX/XXXX. They opened a case but then closed it without notifying me or asking for any supporting documentation. I find it hard to believe they didn't have access to my payment before XXXX PM on XX/XX/XXXX. I think they had their systems turned off for the holiday even though they are the ones who set the due date on a holiday. I am requesting the charges and reward points be refunded since I have evidence they had access to the payment on XX/XX/XXXX.\"",1
They may say that they though I lived in California. However,1
WE THE PEOPLE ARE THE VICTIMS : 10. It has become apparent that we the people are being defrauded,1
"XX/XX/23 : CapitalOne denied the dispute and closed the case without details.\"",1
When I Inquired about the bill to Chase,1
